,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_1,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,1,1,1,0,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-04 12.03.10.txt
1,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2020-02-04 12.11.11.txt
2,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2020-02-04 12.33.18.txt
3,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-04 13.27.00.txt
4,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2020-02-04 13.54.56.txt
5,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-04 19.45.55.txt
6,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2020-02-05 09.02.35.txt
7,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 09.07.20.txt
8,1,1,1,1,1,1,1,1,1,1,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-05 09.42.45.txt
9,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 09.53.38.txt
10,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 10.47.31.txt
11,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 11.23.11.txt
12,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-05 12.35.21.txt
13,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 12.41.58.txt
14,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2020-02-05 13.11.39.txt
15,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 13.36.59.txt
16,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 15.47.23.txt
17,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-02-05 16.54.58.txt
18,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-05 20.55.19.txt
19,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2020-02-06 07.35.24.txt
20,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-06 09.50.37.txt
21,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2020-02-06 11.13.43.txt
22,1,1,1,1,1,0,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-06 12.00.07.txt
23,1,1,1,1,1,1,1,1,1,1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-06 12.06.54.txt
24,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2020-02-06 13.54.08.txt
25,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-07 00.42.57.txt
26,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-07 17.26.53.txt
27,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-10 20.55.53.txt
28,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-10 21.37.28.txt
29,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 08.48.42.txt
30,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 10.25.03.txt
31,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 10.25.59.txt
32,1,1,1,1,1,1,0,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2020-02-11 10.33.54.txt
33,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 10.49.17.txt
34,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-11 13.39.43.txt
35,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 14.00.09.txt
36,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 14.25.30.txt
37,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2020-02-11 16.03.23.txt
38,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 16.20.36.txt
39,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-11 16.28.14.txt
40,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2020-02-11 18.56.42.txt
41,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-11 21.41.14.txt
42,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-11 21.44.07.txt
43,0,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2020-02-12 04.05.08.txt
44,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 08.28.41.txt
45,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2020-02-12 09.34.40.txt
46,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 09.35.17.txt
47,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 10.57.19.txt
48,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 14.44.46.txt
49,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2020-02-12 19.00.31.txt
50,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 19.03.27.txt
51,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-12 20.58.57.txt
52,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-02-13 11.44.29.txt
