,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_3,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,5.945,12.485,2.525,2.124,2.464,3.642,3.037,6.53,1.7690000000000001,2.62,3.0,5.65,4.118,2.779,5.475,12.514000000000001,20.277,34.882,6.281000000000001,10.322000000000001,6.444,6.55,11.649000000000001,7.047999999999999,5.233,2020-02-04 12.03.10.txt
1,3.93,3.4130000000000003,2.445,2.158,2.975,3.452,3.33,3.5239999999999996,1.733,1.82,3.0,4.169,5.912999999999999,4.676,4.626,16.623,13.774000000000001,2.238,2.74,5.166,4.681,15.743,5.403,3.2760000000000002,2.384,2020-02-04 12.11.11.txt
2,16.636,1.9340000000000002,2.0180000000000002,1.695,1.992,1.8559999999999999,5.296,3.806,3.284,2.188,3.0,2.137,2.7430000000000003,1.8719999999999999,3.5239999999999996,12.892999999999999,11.58,1.992,3.275,21.752,7.981,3.0580000000000003,7.188,2.533,2.57,2020-02-04 12.33.18.txt
3,4.662,2.687,1.9469999999999998,3.988,2.274,1.8780000000000001,2.116,2.391,2.09,1.944,3.0,1.811,8.289,5.62,2.7239999999999998,5.672999999999999,8.918,6.777,12.673,3.108,3.214,8.981,3.957,3.4960000000000004,3.2460000000000004,2020-02-04 13.27.00.txt
4,2.4219999999999997,4.063,2.302,2.089,1.901,2.6039999999999996,2.344,1.6969999999999998,1.845,2.633,3.0,2.883,7.037999999999999,2.701,2.005,3.0389999999999997,7.587999999999999,2.96,3.972,3.891,16.824,4.213,3.8739999999999997,4.917,4.527,2020-02-04 13.54.56.txt
5,3.51,3.31,2.344,2.049,7.553999999999999,2.8789999999999996,2.532,1.925,2.0669999999999997,2.464,3.0,2.211,6.615,3.8789999999999996,4.541,16.816,18.199,2.472,6.375,3.762,11.725999999999999,8.952,5.285,6.057,5.776,2020-02-04 19.45.55.txt
6,9.263,2.707,2.6,2.6289999999999996,3.842,3.6839999999999997,3.2430000000000003,4.448,3.145,2.017,3.0,4.595,7.002999999999999,5.526,11.05,22.993000000000002,65.736,23.951999999999998,63.623000000000005,20.874000000000002,12.751,14.954,9.198,8.767000000000001,9.625,2020-02-05 09.02.35.txt
7,7.417999999999999,4.8180000000000005,3.9589999999999996,4.474,3.312,4.592,5.226,2.76,3.522,1.6669999999999998,3.0,5.61,5.4,7.187,4.905,12.567,32.817,2.7030000000000003,8.797,8.69,8.217,7.065,7.651,16.249000000000002,11.513,2020-02-05 09.07.20.txt
8,3.455,2.571,2.654,3.447,3.468,2.454,2.713,2.57,1.84,1.88,3.0,5.394,2.7910000000000004,4.285,3.2910000000000004,16.713,15.967,4.602,8.198,15.489,10.64,7.6610000000000005,5.973,2.289,2.4419999999999997,2020-02-05 09.42.45.txt
9,5.183,2.908,4.362,3.072,4.782,2.73,5.557,3.128,2.733,5.085,3.0,5.522,6.772,8.53,5.2589999999999995,19.555999999999997,30.605999999999998,3.608,5.897,17.067999999999998,15.027999999999999,8.009,7.7989999999999995,5.587000000000001,15.216,2020-02-05 09.53.38.txt
10,10.205,4.303999999999999,2.4419999999999997,3.123,17.565,3.52,3.523,2.7939999999999996,2.56,3.175,3.0,9.967,8.833,9.942,5.278,28.869,63.766999999999996,88.87,6.6370000000000005,16.820999999999998,10.378,16.153,13.543,15.8,9.404,2020-02-05 10.47.31.txt
11,4.914,4.6,2.549,3.327,6.104,2.819,5.466,3.648,2.68,2.403,3.0,4.103,6.175,12.456,3.307,22.12,35.929,13.923,12.402000000000001,21.373,21.733,19.742,20.441,6.865,16.479,2020-02-05 11.23.11.txt
12,3.283,3.073,2.571,3.51,1.689,3.1239999999999997,1.979,1.807,2.714,3.2539999999999996,3.0,3.423,17.073,2.605,3.7089999999999996,4.261,9.41,3.554,3.653,9.115,9.992,18.635,4.718,4.672,4.096,2020-02-05 12.35.21.txt
13,5.364,3.594,2.556,4.158,2.7089999999999996,4.9110000000000005,3.826,2.6839999999999997,2.758,2.028,3.0,7.063,3.964,4.731,10.068999999999999,18.104,9.156,4.533,3.478,6.819,4.398,10.763,12.555,15.642000000000001,4.431,2020-02-05 12.41.58.txt
14,5.431,1.847,1.607,2.286,1.8659999999999999,1.69,4.486000000000001,4.302,1.354,2.597,3.0,5.8020000000000005,8.763,1.6540000000000001,2.761,12.79,9.265,2.3369999999999997,4.166,4.0280000000000005,2.21,4.709,4.548,3.1660000000000004,4.385,2020-02-05 13.11.39.txt
15,4.273,2.932,2.752,2.495,2.225,2.702,2.53,2.215,3.5069999999999997,1.9480000000000002,3.0,2.551,3.6919999999999997,2.221,2.358,5.462999999999999,4.944,2.752,3.67,13.222000000000001,10.133,8.103,5.026,4.163,4.114,2020-02-05 13.36.59.txt
16,5.392,5.483,7.018,5.7170000000000005,4.279,3.673,2.947,3.093,5.242000000000001,2.926,3.0,4.6530000000000005,4.156000000000001,8.229,13.075,22.65,30.303,9.09,8.329,5.892,6.1579999999999995,5.02,6.086,8.054,7.667000000000001,2020-02-05 15.47.23.txt
17,2.506,1.661,2.004,2.467,2.113,2.134,3.694,1.6869999999999998,4.128,2.412,3.0,2.6210000000000004,4.282,4.967,3.6830000000000003,25.445,14.769,2.955,3.49,5.175,19.26,5.8229999999999995,7.638,3.323,7.545,2020-02-05 16.54.58.txt
18,3.4330000000000003,3.0580000000000003,2.655,3.783,2.827,3.5380000000000003,3.72,2.734,4.24,2.524,3.0,6.535,7.874,4.923,4.303999999999999,20.963,16.365,3.67,7.8260000000000005,5.386,4.874,5.712999999999999,7.143,3.486,5.654,2020-02-05 20.55.19.txt
19,6.553999999999999,7.507000000000001,5.183,3.7230000000000003,2.7030000000000003,3.747,4.723,5.3660000000000005,4.1080000000000005,3.009,3.0,4.195,6.91,6.452999999999999,5.056,15.446,22.198,12.952,5.007,10.684000000000001,10.682,34.385999999999996,17.58,17.430999999999997,5.905,2020-02-06 07.35.24.txt
20,5.792999999999999,4.13,4.553999999999999,3.043,4.271,3.54,5.103,2.88,3.4810000000000003,3.417,3.0,5.935,8.331,4.3389999999999995,3.819,9.269,29.814,22.611,45.361000000000004,12.443,10.77,8.533,15.634,7.252999999999999,3.986,2020-02-06 09.50.37.txt
21,6.922000000000001,3.301,4.172,3.998,3.989,4.837,5.385,3.835,3.697,3.141,3.0,4.588,4.419,5.25,7.619,8.469,11.811,3.13,6.55,7.6770000000000005,3.0839999999999996,25.756,15.280999999999999,3.04,5.747000000000001,2020-02-06 11.13.43.txt
22,3.2319999999999998,1.545,4.765,2.259,1.472,2.314,2.366,1.861,2.05,2.4619999999999997,3.0,4.167,2.71,5.102,3.105,7.178999999999999,9.749,3.908,3.411,2.295,2.434,3.4730000000000003,4.078,3.181,5.284,2020-02-06 12.00.07.txt
23,5.914,3.136,2.628,2.969,2.986,2.698,4.569,3.4530000000000003,5.033,5.385,2.0,11.36,4.848,13.448,10.424000000000001,17.226,5.308,7.417999999999999,4.587,4.891,15.375,7.102,7.097,3.486,3.352,2020-02-06 12.06.54.txt
24,5.7620000000000005,4.757,3.616,4.503,4.4030000000000005,4.154,2.36,3.1889999999999996,3.458,3.9389999999999996,3.0,7.06,4.982,2.972,4.236000000000001,13.324000000000002,4.113,3.0439999999999996,3.0410000000000004,6.355,3.803,7.015,14.955,2.6319999999999997,5.854,2020-02-06 13.54.08.txt
25,4.562,2.793,3.207,2.6919999999999997,2.273,2.707,3.949,5.153,4.279,2.101,3.0,3.85,3.188,8.38,6.52,17.493,2.6719999999999997,4.625,2.4330000000000003,26.355999999999998,19.314,16.289,18.719,9.225,5.297999999999999,2020-02-07 00.42.57.txt
26,6.263999999999999,2.256,3.085,2.074,2.595,1.834,1.896,2.8989999999999996,2.162,3.3739999999999997,3.0,4.138,3.194,9.503,4.803,30.008000000000003,8.184,18.38,3.014,5.566,5.3870000000000005,6.965,2.7039999999999997,3.577,6.421,2020-02-07 17.26.53.txt
