,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_2,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,19.146,7.982,7.166,6.733,3.88,3.9560000000000004,2.37,3.272,6.33,6.572,3.0,8.615,7.281000000000001,12.645999999999999,11.5,26.58,18.429000000000002,9.804,17.077,5.654,5.153,9.837,3.475,9.475,6.837000000000001,2020-02-04 12.03.10.txt
1,4.133,2.1,4.247,2.147,1.9240000000000002,1.5730000000000002,2.6830000000000003,2.7910000000000004,2.081,2.553,3.0,4.341,6.281000000000001,3.5010000000000003,4.7219999999999995,4.849,3.627,2.967,5.12,10.960999999999999,11.675999999999998,6.6,7.352,9.743,11.834000000000001,2020-02-04 12.11.11.txt
2,5.534,2.9939999999999998,2.164,2.316,1.942,3.05,2.5269999999999997,1.975,2.307,2.2680000000000002,3.0,2.8089999999999997,4.341,4.42,5.465,6.061,11.831,7.022,4.7860000000000005,7.289,11.924000000000001,8.774,6.582000000000001,5.752000000000001,6.016,2020-02-04 12.33.18.txt
3,3.145,2.841,2.739,2.57,2.386,2.615,2.186,1.989,2.044,2.208,3.0,4.967,2.7689999999999997,2.963,8.638,28.584,6.902,5.724,21.785,8.533999999999999,3.883,17.403,4.596,8.722000000000001,7.73,2020-02-04 13.27.00.txt
4,7.255,2.668,2.012,1.79,1.844,1.9769999999999999,2.367,1.607,1.465,1.926,3.0,4.1530000000000005,9.486,3.846,9.545,9.036,15.019,7.289,9.749,21.073,4.647,5.041,18.139,5.3870000000000005,4.377,2020-02-04 13.54.56.txt
5,8.287,2.7319999999999998,3.1060000000000003,2.6060000000000003,2.665,3.012,2.9210000000000003,2.494,3.2430000000000003,2.753,3.0,3.015,19.349,5.274,5.202999999999999,22.514,10.26,5.261,5.669,4.061,3.318,7.449,6.332000000000001,6.832999999999999,7.067,2020-02-04 19.45.55.txt
6,4.269,2.193,1.94,1.8259999999999998,4.106,3.0660000000000003,1.994,1.921,2.4819999999999998,3.1069999999999998,3.0,4.342,7.321000000000001,4.502,5.659,6.9910000000000005,6.985,3.2319999999999998,7.8389999999999995,6.784,13.922,18.477999999999998,6.267,7.8420000000000005,6.535,2020-02-05 09.02.35.txt
7,7.45,4.666,4.067,6.1339999999999995,3.6,4.555,5.074,3.554,3.0660000000000003,5.585,3.0,3.049,6.751,6.3260000000000005,5.29,45.613,22.243000000000002,4.99,65.97,28.237,8.354,23.795,31.276,45.658,13.384,2020-02-05 09.07.20.txt
8,2.5610000000000004,2.439,1.619,3.0580000000000003,1.736,1.8940000000000001,2.2680000000000002,2.7510000000000003,1.7630000000000001,2.9160000000000004,3.0,2.454,3.014,4.194,3.003,4.824,5.772,9.982000000000001,3.613,9.634,5.593999999999999,5.227,7.29,3.495,4.499,2020-02-05 09.42.45.txt
9,3.3339999999999996,6.047000000000001,1.974,2.7939999999999996,2.161,4.492,2.114,3.5269999999999997,3.3160000000000003,3.844,3.0,15.397,9.55,3.904,5.006,5.871,25.859,2.83,7.386,8.451,11.100999999999999,18.769000000000002,27.638,3.0210000000000004,4.927,2020-02-05 09.53.38.txt
10,3.147,3.068,2.8510000000000004,3.801,3.48,2.7710000000000004,3.6069999999999998,4.544,2.8280000000000003,2.7430000000000003,3.0,4.192,5.9670000000000005,4.508,6.466,12.367,30.906,8.587,7.954,5.919,10.559000000000001,11.690999999999999,17.95,35.621,4.893,2020-02-05 10.47.31.txt
11,9.132,5.624,3.839,5.087,3.072,3.627,2.592,3.094,3.346,4.2139999999999995,3.0,5.516,6.347,6.904,6.702000000000001,17.313,7.9,16.279,41.418,37.201,44.138000000000005,23.979,14.82,14.895999999999999,13.519,2020-02-05 11.23.11.txt
