,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_1,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2020-03-02 19.11.38.txt
1,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-03-03 08.25.07.txt
2,1,1,1,1,1,1,1,1,1,1,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-03-03 08.59.16.txt
3,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2020-03-03 10.53.26.txt
4,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-03-03 17.10.04.txt
5,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2020-03-05 08.37.56.txt
6,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-03-05 09.02.08.txt
7,1,0,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2020-03-05 09.41.31.txt
8,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2020-03-05 09.47.56.txt
9,1,1,1,1,1,1,1,1,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2020-03-05 10.18.47.txt
