,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_3,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,3.095,2.4,2.125,2.306,1.847,1.992,2.0180000000000002,3.2319999999999998,2.667,1.385,3.0,2.7889999999999997,3.719,5.278,3.8510000000000004,5.358,24.416,2.171,3.9539999999999997,3.052,2.715,2.72,4.749,5.547000000000001,5.801,2020-09-16 18.24.40.txt
1,4.968,3.594,2.49,2.6510000000000002,2.497,2.2680000000000002,2.097,2.201,4.114,2.625,3.0,6.025,2.783,6.126,6.377999999999999,4.248,3.225,14.56,15.493,6.631,4.417,4.223,4.729,4.064,5.881,2020-09-17 11.41.51.txt
2,4.186,2.745,2.495,6.041,1.858,2.846,3.721,2.842,2.52,3.658,3.0,14.37,7.462000000000001,5.3020000000000005,4.455,7.1129999999999995,9.767000000000001,5.261,6.984,2.71,7.607,2.4330000000000003,3.807,4.015,2.439,2020-09-18 19.56.06.txt
3,4.413,2.424,3.825,1.79,3.052,1.893,2.434,1.6369999999999998,1.847,2.557,2.0,2.63,5.247000000000001,4.731,9.821,19.636,6.11,3.2110000000000003,3.392,3.714,3.3560000000000003,11.504000000000001,4.959,3.6319999999999997,19.119,2020-09-18 20.42.35.txt
4,4.669,2.795,2.541,5.684,4.457,2.7569999999999997,2.9930000000000003,3.513,2.406,4.03,3.0,25.653000000000002,12.052999999999999,8.16,5.249,11.14,15.55,16.576,13.379000000000001,19.206,4.266,7.364,6.276,2.59,4.223,2020-09-18 21.20.59.txt
5,2.141,2.35,2.448,1.976,1.992,2.444,5.7860000000000005,3.9810000000000003,2.063,2.707,3.0,3.43,4.917,2.174,5.426,3.069,12.222999999999999,2.5069999999999997,3.995,9.355,10.753,16.145,13.958,5.727,5.56,2020-09-23 17.53.53.txt
6,7.702000000000001,13.064,7.517,6.086,3.261,1.874,2.057,3.0669999999999997,2.708,2.287,3.0,2.4659999999999997,12.722000000000001,2.032,6.138999999999999,8.312999999999999,5.42,5.184,7.683,6.15,8.033999999999999,10.097999999999999,9.022,4.212,7.737,2020-09-24 03.47.04.txt
7,5.952000000000001,3.49,3.889,2.906,3.3789999999999996,2.748,2.612,3.6839999999999997,3.8819999999999997,5.821000000000001,3.0,3.9810000000000003,11.444,9.82,12.899000000000001,4.888,5.5120000000000005,14.880999999999998,8.582,7.995,7.647,14.356,12.165,5.4,21.383000000000003,2020-09-24 12.03.20.txt
8,3.7510000000000003,2.444,3.134,1.814,1.8090000000000002,1.966,3.056,1.776,1.9569999999999999,2.217,3.0,4.281000000000001,7.751,5.029,2.878,5.8389999999999995,6.6610000000000005,1.7309999999999999,3.647,4.314,3.658,3.725,3.628,6.501,5.318,2020-09-25 15.50.56.txt
9,8.367,6.88,4.987,4.343,3.785,3.747,3.545,3.159,4.694,3.8310000000000004,3.0,9.505,10.694,4.843,9.212,6.974,11.651,5.8629999999999995,5.747999999999999,12.344000000000001,10.113,24.191,15.667,12.117,14.669,2020-09-25 15.57.16.txt
