,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,attention_1,pm_highest,pm_lowest,am_highest,am_lowest,most_sim,most_diff,across_highest,across_lowest,range_3_highest_1,range_3_highest_2,range_3_lowest_1,range_3_lowest_2,range_12_highest,range_12_lowest,file
0,6.147,2.764,3.3989999999999996,3.59,3.625,3.844,3.264,3.193,2.8110000000000004,3.3289999999999997,3.0,4.158,11.423,10.76,6.348,7.297000000000001,12.212,7.922000000000001,11.634,7.602,4.14,4.4719999999999995,3.6039999999999996,5.276,5.053,2020-09-16 18.24.40.txt
1,6.678999999999999,4.218,5.832999999999999,8.385,2.545,3.465,2.7539999999999996,2.8989999999999996,3.997,4.334,3.0,2.9539999999999997,8.586,6.227,6.1770000000000005,2.545,9.425,7.2379999999999995,6.212000000000001,4.187,3.775,4.436,4.553,7.0489999999999995,3.5980000000000003,2020-09-17 11.41.51.txt
2,5.682,3.323,3.54,3.154,5.021,3.595,4.671,3.46,2.866,2.753,3.0,3.173,5.631,15.752,5.314,12.495,6.132999999999999,14.505,11.265999999999998,8.134,3.875,7.106,11.369000000000002,4.127,2.6239999999999997,2020-09-18 19.56.06.txt
3,5.691,2.525,11.911,4.199,5.899,2.227,5.797000000000001,3.0269999999999997,6.797000000000001,2.6439999999999997,2.0,4.783,7.954,3.9739999999999998,10.901,10.058,6.612,4.625,4.84,3.665,3.304,4.138,4.056,3.2460000000000004,2.18,2020-09-18 20.42.35.txt
4,4.5760000000000005,2.219,4.748,2.471,2.539,3.477,2.838,2.311,2.376,2.766,3.0,7.27,12.296,12.104000000000001,9.238,6.54,21.644000000000002,5.986000000000001,14.015,5.702999999999999,4.2139999999999995,4.115,6.247000000000001,3.638,6.865,2020-09-18 21.20.59.txt
5,4.904,3.5439999999999996,3.3089999999999997,4.692,4.085,3.886,3.708,2.9939999999999998,3.886,3.1660000000000004,3.0,8.831,5.651,8.228,5.479,5.537999999999999,17.208,3.52,6.405,8.839,30.816999999999997,5.992000000000001,22.11,6.8229999999999995,19.521,2020-09-23 17.53.53.txt
6,4.692,2.8819999999999997,4.08,3.64,3.122,2.928,3.5,2.293,4.006,2.302,3.0,3.844,5.069,5.357,4.652,3.741,12.744000000000002,4.235,10.479000000000001,8.147,11.319,5.486000000000001,10.49,8.967,6.172000000000001,2020-09-24 03.47.04.txt
7,5.651,4.427,3.801,3.2289999999999996,3.995,3.6180000000000003,3.641,5.3389999999999995,3.6710000000000003,4.575,3.0,6.2010000000000005,7.515,3.495,3.471,4.351,5.261,7.3,12.76,5.874,3.528,6.771,7.935,7.279,6.0329999999999995,2020-09-24 12.03.20.txt
8,3.0989999999999998,1.8769999999999998,3.7239999999999998,2.762,3.176,4.817,2.351,3.13,3.7,3.734,3.0,2.1719999999999997,2.9210000000000003,5.053,6.232,5.11,3.9,6.005,4.914,3.264,7.479,3.991,4.426,2.775,7.522,2020-09-25 15.50.56.txt
9,6.249,3.785,3.196,3.447,5.021,3.875,3.912,4.542,4.158,4.677,3.0,3.9789999999999996,4.128,4.253,7.721,4.011,12.525,3.522,13.925,6.402,21.476,8.152000000000001,10.077,4.94,7.186,2020-09-25 15.57.16.txt
10,4.939,3.68,2.835,2.622,3.042,2.696,4.525,3.56,3.466,2.375,2.0,4.628,10.177,5.49,3.839,4.53,7.794,3.6689999999999996,7.861000000000001,11.469000000000001,6.431,12.499,6.702000000000001,5.489,7.553,2020-09-25 16.00.22.txt
11,6.1,1.921,5.274,4.238,2.633,2.59,2.293,2.0380000000000003,4.2139999999999995,2.7880000000000003,3.0,3.714,5.2989999999999995,2.37,4.853,4.694,23.305,3.273,6.587999999999999,10.075,6.081,16.628,9.965,3.927,3.467,2020-09-25 16.03.34.txt
12,4.468999999999999,10.161,3.9160000000000004,3.3110000000000004,3.8280000000000003,5.422999999999999,4.046,4.197,3.478,3.477,2.0,10.029,60.549,15.308,7.57,10.477,11.950999999999999,15.575,31.322,9.293,20.996,14.214,22.1,18.189,24.586,2020-09-25 16.11.44.txt
13,4.752,4.211,2.6180000000000003,2.549,4.122,3.1710000000000003,3.556,3.193,4.636,3.418,3.0,2.9189999999999996,8.357999999999999,4.188,2.52,4.939,11.860999999999999,2.511,4.079,12.32,4.988,8.995,9.583,3.142,5.421,2020-09-25 16.12.52.txt
14,6.024,3.923,4.12,5.565,3.488,5.273,3.9539999999999997,3.887,4.253,6.678999999999999,3.0,6.0760000000000005,11.402999999999999,5.371,4.1530000000000005,9.66,22.011999999999997,5.5,8.29,5.61,6.247999999999999,8.878,9.833,8.405,9.357999999999999,2020-09-25 16.25.02.txt
15,22.615,2.659,4.042,7.877999999999999,5.015,2.464,5.15,4.837,5.098,2.6860000000000004,3.0,9.077,8.0,4.4239999999999995,8.025,8.236,12.909,4.522,12.640999999999998,14.093,8.293,8.902000000000001,12.055,5.754,11.171,2020-09-25 16.27.22.txt
16,3.9210000000000003,2.67,4.848,5.858,4.27,3.407,2.9330000000000003,1.806,2.705,6.225,3.0,4.567,15.685,4.369,7.019,3.5839999999999996,11.487,3.447,4.013999999999999,6.525,3.733,4.843,4.6739999999999995,4.518,5.018,2020-09-25 16.37.56.txt
17,6.777,3.859,2.275,3.142,5.034,3.219,2.522,3.903,3.7969999999999997,1.8130000000000002,3.0,3.323,7.417000000000001,3.698,5.325,3.571,7.796,5.279,18.239,6.249,4.871,7.428999999999999,3.8,5.272,9.809,2020-09-25 16.40.15.txt
18,6.401,1.871,2.153,2.201,5.396,4.787,3.753,3.5839999999999996,2.592,2.637,3.0,2.662,6.247999999999999,8.642000000000001,8.51,6.382999999999999,6.42,4.23,6.643,13.395,8.558,8.852,7.727,8.301,5.24,2020-09-25 16.42.03.txt
19,6.6770000000000005,6.746,3.9560000000000004,4.49,2.8510000000000004,11.380999999999998,5.09,2.9760000000000004,3.4810000000000003,5.61,3.0,24.112,22.074,15.023,9.117,2.8339999999999996,32.143,8.532,6.183,10.275,6.46,7.706,6.593999999999999,3.77,5.934,2020-09-25 16.42.13.txt
20,6.78,2.38,2.658,4.204,1.906,2.5069999999999997,3.853,3.2710000000000004,4.465,3.3489999999999998,3.0,3.806,4.998,5.631,7.081,3.822,5.955,2.944,2.713,6.938,9.655,16.535,18.913,7.939,3.733,2020-09-25 16.46.51.txt
