,file,Q1,Q2,Q3,Q4,Q5,Text,Gender,Age,Education,Interaction
0,2020-02-04 12.03.10.txt,4,5,5,4,4,-,female,30,bachelor,mouse
1,2020-02-04 12.11.11.txt,4,4,4,4,5,Easy to compare ,female,40,master,mouse
2,2020-02-04 12.33.18.txt,5,4,4,5,5,Maybe most natural visualization of these. Comparing totals maybe harder than with others (instead of summing the totals and then comparing AM and PM you make multiple pairwise comparisons). Easiest to compare specific AM and PM times. As a general comment I felt the questions regarding the most similar or different values bit difficult as at few occasions I wasn't sure should I answer based on absolute or relative difference. ;),male,36,phd,mouse
3,2020-02-04 13.27.00.txt,4,4,4,3,4,-,male,27,bachelor,mouse
4,2020-02-04 13.54.56.txt,5,5,5,4,4,-,male,36,bachelor,mouse
5,2020-02-04 19.45.55.txt,4,2,2,2,2,It was very difficult comparing two time periods with each other. Thankfully the buttons to the right visualized what I had to compare when I clicked them. This was the first one I tried so I found that it took more time than the others. So the time spent I'd say is more due to a lack of urgency and not being used to the test than it being more difficult to use.,none,29,master,mouse
6,2020-02-05 09.02.35.txt,5,5,4,5,5,harder to compare groups,female,55,bachelor,mouse
7,2020-02-05 09.07.20.txt,5,4,4,4,5,-,male,34,phd,mouse
8,2020-02-05 09.42.45.txt,5,5,5,3,4,-,male,26,master,mouse
9,2020-02-05 09.53.38.txt,4,4,5,5,4,-,male,31,phd,mouse
10,2020-02-05 10.47.31.txt,5,5,5,3,4,comment to visual representation alternative 1 also applicable to visrepalt2,male,39,phd,mouse
11,2020-02-05 11.23.11.txt,2,2,2,2,2,-,female,31,bachelor,trackpad
12,2020-02-05 12.35.21.txt,4,4,4,4,4,-,male,29,phd,trackpad
13,2020-02-05 12.41.58.txt,5,5,4,5,4,-0,male,27,bachelor,mouse
14,2020-02-05 13.11.39.txt,4,4,2,3,3,-,male,33,master,mouse
15,2020-02-05 13.36.59.txt,5,4,3,2,4,-,female,35,master,trackpad
16,2020-02-05 15.47.23.txt,4,4,4,4,4,-,female,30,phd,trackpad
17,2020-02-05 16.54.58.txt,4,4,4,4,4,"Easier than the other vizs to compare AM-values with PM-values. Easy to find the value for a certain time. Slightly difficult to compare total values across multiple time slots e.g. compare the total value between 1-3 AM and 5-9 PM. This is because time slots adjacent in time (1 2 3 AM) are not adjacent in the visualisation as there are PM-values in between. Nonetheless I did not find this limitation very strong. I do not think much of time in terms of AM and PM but rather my ""mental clock"" goes from 00:00 to 23:59. So I have a preference for the last visualisation with respect to the presentation of time. NOTE: In most of this test I used the trackpad but towards the middle (so around visualisation 2 I think) I used the touch screen and then reverted to trackpad. Sorry!!",male,29,master,touch
18,2020-02-05 20.55.19.txt,4,4,4,4,4,-,male,35,phd,trackpad
