,file,Q1,Q2,Q3,Q4,Q5,Text,Gender,Age,Education,Interaction
0,2020-03-02 19.11.38.txt,4,4,4,2,2,-,male,28,master,mouse
1,2020-03-03 08.25.07.txt,5,4,3,5,3,Harder to compare values between AM and PM,male,38,bachelor,mouse
2,2020-03-03 08.59.16.txt,4,2,3,4,4,The worst of the three crappy ways of showing time data. ,male,34,phd,mouse
3,2020-03-03 10.53.26.txt,5,5,5,5,5,Harder between three to make comparison of same hour am and pm. (PS: can't find the option for none of your business under age ),female,39,phd,mouse
4,2020-03-03 17.10.04.txt,3,2,2,3,3,-,female,30,master,mouse
5,2020-03-05 08.37.56.txt,5,5,4,4,4,-,male,20,highschool,mouse
6,2020-03-05 09.02.08.txt,5,4,4,4,5,This structure is also easy to understand. I like the visualisation and for most of the question it was easy to find the correct anser. It was harder to compare which time was the most equal between AM and PM.,female,27,bachelor,trackpad
7,2020-03-05 09.41.31.txt,4,5,2,2,2,-,male,21,master,trackpad
8,2020-03-05 09.47.56.txt,3,2,1,2,2,-,male,21,bachelor,trackpad
9,2020-03-05 10.18.47.txt,4,3,2,3,3,-,female,22,bachelor,trackpad
10,2020-03-05 10.38.55.txt,5,5,5,5,5,-,female,23,bachelor,trackpad
11,2020-03-05 14.50.00.txt,4,2,2,2,1,I think the values would be easier to read if the bars followed the shape of the circle like the third type.,male,22,bachelor,mouse
12,2020-03-05 15.43.20.txt,5,4,4,4,4,Hard to compare similarities fast.,other,22,master,trackpad
13,2020-03-05 15.49.03.txt,5,4,4,5,5,-,female,20,bachelor,touch
14,2020-03-06 12.03.33.txt,4,2,2,2,2,-,female,23,master,mouse
15,2020-03-06 14.54.59.txt,5,5,4,4,5,Not as easy to compare between PM and AM,female,23,master,mouse
16,2020-03-06 22.20.55.txt,1,1,1,1,1,Do you really need to test this? I guess you want to have some data for your paper but in the end is it not obvious that this is a bad way to represent data if you want people to compare values or single out outliers etc?  I got progressively more irritated during the test but stayed to the end just in hope of writing a comment. A classic line graph would show this data much better for comparing values. I have a really hard time trying to think of a use case.,male,44,master,mouse
17,2020-03-07 08.47.06.txt,4,4,4,4,4,-,male,31,bachelor,trackpad
18,2020-03-07 17.57.26.txt,5,3,3,5,5,-,male,21,bachelor,mouse
19,2020-03-08 14.35.20.txt,5,3,4,5,4,-,male,21,highschool,trackpad
20,2020-03-09 23.07.35.txt,4,4,5,4,4,-,female,24,bachelor,trackpad
21,2020-03-10 00.17.02.txt,4,4,5,3,4,-,male,25,bachelor,mouse
