,file,Q1,Q2,Q3,Q4,Q5,Text,Gender,Age,Education,Interaction
0,2020-03-02 19.11.38.txt,2,2,3,3,3,-,male,28,master,mouse
1,2020-03-03 08.25.07.txt,5,4,2,1,2,"I missinterpeded what the times meant if 8AM meant the ""pie-slize"" between 7-8 or 8-9. It din't become obvious untill the later stage of the questions where the task was to ""find the largest"" and you would choose graphically and the numerical value was not what i had expected. Also the values should be a little transparent so you can read the gradings behind.",male,38,bachelor,mouse
2,2020-03-03 08.59.16.txt,4,3,4,1,4,Easy to compare between different times and harder to compare between am and pm. Also how the hell is having the data before the time stamp in any way an intuitive way of showing time data? Pretty sure that I am of by one hour on every answer.,male,34,phd,mouse
3,2020-03-03 10.53.26.txt,4,3,4,4,5,At beginning had to think which slice is 1 and which 12 but there was a quick learning effect.  Good for comparison of same hour am and pm. Felt best for assessing total range value,female,39,phd,mouse
4,2020-03-03 17.10.04.txt,1,1,1,1,2,-,female,30,master,mouse
5,2020-03-05 08.37.56.txt,5,4,5,5,5,-,male,20,highschool,mouse
6,2020-03-05 09.02.08.txt,5,4,5,5,5,This is by far my favourite structure and surprisingly easy to follow. The only issue is how the numbers 1-12 is placed which made the decision of finding the right time a bit harder I always wanted to choose for example the time-pie for 5 if looking for the time-pie of 4. In those questions I think the placement of the numbers were harder for me personally to get the hang of however I understand why they must be placed like that and it's still my personal favourite.,female,27,bachelor,trackpad
7,2020-03-05 09.41.31.txt,3,5,4,1,4,-,male,21,master,trackpad
8,2020-03-05 09.47.56.txt,3,3,2,2,3,-,male,21,bachelor,trackpad
9,2020-03-05 10.18.47.txt,5,5,4,4,4,-,female,22,bachelor,trackpad
10,2020-03-05 10.38.55.txt,4,3,4,2,5,-,female,23,bachelor,trackpad
11,2020-03-05 14.50.00.txt,4,3,4,3,3,-,male,22,bachelor,mouse
12,2020-03-05 15.43.20.txt,2,4,2,4,3,It is hard to quickly see which bar belongs to which time because the number is in between two bars.,other,22,master,trackpad
13,2020-03-05 15.49.03.txt,3,4,4,4,4,-,female,20,bachelor,touch
14,2020-03-06 12.03.33.txt,4,4,4,4,5,-,female,23,master,mouse
15,2020-03-06 14.54.59.txt,4,2,2,1,3,"Hard to compare between AM and PM but also hard to compare values within AM or PM. Hard to see where one time slot was since the numbers are not directly in line with the ""pie pieces"" instead they are in between.",female,23,master,mouse
16,2020-03-06 22.20.55.txt,1,1,1,1,1,Do you really need to test this? I guess you want to have some data for your paper but in the end is it not obvious that this is a bad way to represent data if you want people to compare values or single out outliers etc?  I got progressively more irritated during the test but stayed to the end just in hope of writing a comment. A classic line graph would show this data much better for comparing values. I have a really hard time trying to think of a use case.,male,44,master,mouse
17,2020-03-07 08.47.06.txt,1,3,5,1,3,-,male,31,bachelor,trackpad
18,2020-03-07 17.57.26.txt,3,3,2,2,3,-,male,21,bachelor,mouse
19,2020-03-08 14.35.20.txt,2,4,2,2,1,-,male,21,highschool,trackpad
